code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0165,AQUA ARMOR NEW MATERIAL ANM SRL,,165,Almacén,,ZONA FRANCA INDUSTRIAL RIOSUR II,DO
WH0166,ARANTZA DUTY FREE SHOP,,166,Almacén,,"Z.F. IND., BAHIA DE MAIMON",DO
WH0167,"ARCADIO DIAZ INTERNATIONAL, S A",,167,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0162,APPAREL GROUP INTERNATIONAL,,162,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0163,APPAREL MACHINERY & SUPPLY CO,,163,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0168,ARCOBALENO CHAIN,,168,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0169,ARCOIRIS DOMINICANA C POR A,,169,Almacén,,"Z.F. IND., SAN PEDRO DE MACORI",DO
WH0170,ARIA FASHIONS S A,,170,Almacén,,,
WH0177,ARTESANIA TAMBORIL S A,,177,Almacén,,Z.F.ESP.ARTESANIA CANCA(STGO),DO
WH0173,ARNOLD ANDRE DOMINICANA SRL,,173,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0175,ARPAD TECHNOLOGIES SRL,,175,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0176,ARRIOL INTERNATIONAL S A,,176,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0172,ARK DOMINICAN REPUBLIC SRL,,172,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0174,ARON SANDERS N FATHER SRL,,174,Almacén,,ZONA FRANCA INDUSTRIAL DE NAVARRETE,DO
WH0171,ARJO DOMINICAN REPUBLIC SA,,171,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN CRISTÓBAL (ITABO),DO
WH0179,ARTICULOS DE PIEL LOS FAVORITOS C POR A,,179,Almacén,,Z.F. ESPECIAL SANTIAGO,DO
WH0180,ARTICULOS DE PIEL LOS FAVORITOS C POR A,,180,Almacén,,Z.F. ESPECIAL SANTIAGO,DO
WH0178,ARTESANIA TAMBORIL SRL,,178,Almacén,,,
WH0187,ASOCIACION DE CONCESIONARIOS DE FABRICANTES DE VEHICULOS INC,,187,Almacén,,ADMINISTRACION SANTO DOMINGO,DO
WH0181,ARTICULOS DE PIEL LOS FAVORITOS C POR A,,181,Almacén,,"PARQUE INDUSTRIAL Y DE SERVICIOS YAQUE, S. A.",DO
WH0182,AS ATHLETICS S R L (LA ARMERIA),,182,Almacén,,Z.F. SAN CRISTOBAL(LA ARMERIA),DO
WH0185,ASG TOBACCO TRADERS SRL,,185,Almacén,,ZONA FRANCA INDUSTRIAL TAMBORIL,DO
WH0186,ASHEBORO ELASTICS DOMINICANA S A,,186,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0184,"ASES MANUFACTURING SRL, SPM",,184,Almacén,,"Z.F. IND., SAN PEDRO DE MACORI",DO
WH0188,ATACAMA S A,,188,Almacén,,NUEVA ZONA FRANCA INDUSTRIAL DE SAN PEDRO DE MACORÍS (CHEM TEC),DO
WH0190,ATLANTIC MANUFACTURING S A,,190,Almacén,,"Z.F. IND., PUERTO PLATA",DO
WH0183,ASDR AMERICAN SUPPLY DOMINICAN REPUBLIC SRL,,183,Almacén,,ZONA FRANCA INDUSTRIAL DE GURABO,DO
WH0189,ATLANTIC CARIBBEAN PACKAGING S A,,189,Almacén,,,
WH0198,AVIAT LOGISTICS SERVICES SAS,,198,Almacén,ZONA FRANCA MULTIMODAL CAUCEDO S A,ADMINISTRACION PUERTO MULTIMODAL CAUCEDO,DO
WH0196,AVIAM LTD,,196,Almacén,,ADMINISTRACION HAINA ORIENTAL,DO
WH0194,AVENTURA BOATS SRL,,194,Almacén,,"Z.F. IND., LUPERON VERDE",DO
WH0191,ATLANTIC STEEL PIPELINE SRL,,191,Almacén,,ZONA FRANCA INDUSTRIAL RIOSUR,DO
WH0195,AVERY DENNISON DOMINICAN REPUBLIC S A,,195,Almacén,,ZONA FRANCA SANTIAGO - NAVARRETE (PISANO),DO
WH0199,AVOCADO OIL WORLD FEVABOR SRL,,199,Almacén,,ZONA FRANCA SANTIAGO - NAVARRETE (PISANO),DO
WH0197,AVIAT LOGISTICS SERVICES SAS,,197,Almacén,,Z.F. IND. MULTIMODAL CAUCEDO,DO
WH0193,AVA TAX & DUTY FREE,,193,Almacén,,Z.F. COMERCIAL PUNTA CANA,DO
WH0200,AWM CARIBBEAN LLC,,200,Almacén,,ZONA FRANCA INDUSTRIAL CARIBBEAN INDUSTRIAL PARK,DO
